Time (s),Velocity (m/s),Mass (kg)
399.55026865005493,2859.420100481634,5156.9521484375
399.6652684211731,2861.7578755877403,5153.431640625
399.7922782897949,2864.0969759442473,5149.91064453125
399.9002876281738,2866.437402552462,5146.39013671875
400.00428676605225,2868.3887723632124,5143.45654296875
400.1062877178192,2870.341064801278,5140.52197265625
400.2242877483368,2872.6850349218985,5137.00146484375
400.3392872810364,2875.0303362859436,5133.48046875
400.44963932037354,2876.594610890927,5131.13330078125
400.5656409263611,2879.3335515376657,5127.025390625
400.67063879966736,2881.2910257353105,5124.09130859375
400.78964018821716,2883.6412194696,5120.57080078125
400.90763998031616,2885.992751270663,5117.05029296875
401.0101752281189,2887.9533840200193,5114.1162109375
401.11499881744385,2889.914947572286,5111.18212890625
401.235999584198,2892.270053699369,5107.6611328125
401.3529975414276,2894.62650277688,5104.140625
401.471004486084,2896.984296336576,5100.61962890625
401.5730047225952,2898.950152090187,5097.685546875
401.678040266037,2900.916943173101,5094.751953125
401.79102993011475,2903.2783283085837,5091.23095703125
401.8949429988861,2905.2471799383475,5088.296875
402.00596380233765,2907.6110401390933,5084.7763671875
402.13596296310425,2909.976252316792,5081.25537109375
402.24096274375916,2911.9482961984763,5078.3212890625
402.3479630947113,2914.3159961665383,5074.80029296875
402.4549837112427,2915.9888008839503,5072.30712890625
402.57400155067444,2916.5114616473425,5071.48486328125
402.6760230064392,2916.921389356269,5070.8369140625
402.7950246334076,2917.384288096804,5070.10205078125
402.9110198020935,2917.8172833554677,5069.41015625
403.0286452770233,2918.2221224617965,5068.75927734375
403.15887928009033,2918.6004506055538,5068.146484375
403.27550983428955,2918.9538165618496,5067.57080078125
403.3765103816986,2919.230273834975,5067.1162109375
403.47951078414917,2919.4912071163635,5066.68408203125
403.58851051330566,2919.784905857531,5066.1943359375
403.6945118904114,2920.0143307693215,5065.80810546875
403.8055100440979,2920.2304977394224,5065.44091796875
403.91704273223877,2920.4733721732464,5065.0244140625
404.0196316242218,2920.6626674152867,5064.69580078125
404.1318008899689,2920.875005094705,5064.32275390625
404.24181938171387,2921.0402225852285,5064.029296875
404.3595540523529,2921.225199857853,5063.69580078125
404.4715540409088,2921.3964680709573,5063.3818359375
404.5843126773834,2921.5292965744707,5063.134765625
404.6993124485016,2921.677459452636,5062.85400390625
404.8133125305176,2921.8140424032404,5062.58984375
404.91733503341675,2921.9195021072405,5062.3818359375
405.03733372688293,2922.0365388184396,5062.14501953125
405.1383330821991,2922.1265703051986,5061.958984375
405.2423334121704,2922.2101341667217,5061.78173828125
405.34733295440674,2922.302334023651,5061.5810546875
405.4503331184387,2922.372750845735,5061.42236328125
405.56833362579346,2922.449965792038,5061.24267578125
405.67104840278625,2922.5085614532304,5061.10107421875
405.7750482559204,2922.562195865446,5060.96630859375
405.87604904174805,2922.6111053723894,5060.837890625
405.9808118343353,2922.655514727127,5060.71630859375
406.08893060684204,2922.703184654766,5060.578125
406.19144773483276,2922.738446360141,5060.46923828125
406.29344940185547,2922.769837254041,5060.36572265625
406.3994565010071,2922.7975573872855,5060.26708984375
406.5034558773041,2922.821779803674,5060.17333984375
406.61075019836426,2922.846485027324,5060.06689453125
406.71474957466125,2922.863587871058,5059.9833984375
406.8237497806549,2922.8776781997126,5059.90380859375
406.93335485458374,2922.8908478980834,5059.8134765625
407.0533547401428,2922.9001100241594,5059.728515625
407.19840264320374,2922.904221642378,5059.6748046875
407.30840396881104,2922.907703527325,5059.58544921875
407.41220355033875,2922.9073825507576,5059.525390625
407.53720355033875,2922.9041071713777,5059.45703125
407.65420365333557,2922.8978414402172,5059.39306640625
407.77320313453674,2922.888747031173,5059.33251953125
407.89956545829773,2922.876975929264,5059.27587890625
408.01256680488586,2922.86267140618,5059.22265625
408.1305627822876,2922.845968459202,5059.171875
408.2595627307892,2922.8269940455334,5059.125
408.37792110443115,2922.8058676463193,5059.08056640625
408.4949219226837,2922.7827016944166,5059.03857421875
408.6089210510254,2922.757601991654,5058.9990234375
408.7299213409424,2922.7306681609857,5058.9619140625
408.8369212150574,2922.7068899852425,5058.9326171875
408.9399917125702,2922.681954587969,5058.90478515625
409.05899310112,2922.6505730689596,5058.873046875
409.1799931526184,2922.6176749933916,5058.84375
409.2989912033081,2922.5833353617695,5058.8154296875
409.41599321365356,2922.5476248243885,5058.7890625
409.5279915332794,2922.51060987182,5058.76416015625
409.65799164772034,2922.47235302175,5058.7412109375
409.7719919681549,2922.4329131882496,5058.71923828125
409.874990940094,2922.399183068613,5058.701171875
409.9979932308197,2922.357715994102,5058.681640625
410.11199164390564,2922.3152146243697,5058.66357421875
410.2159938812256,2922.2790404826574,5058.64892578125
410.32899141311646,2922.2347621449057,5058.63232421875
410.43799090385437,2922.1971673922408,5058.61962890625
410.59806537628174,2922.174317117261,5058.61181640625
410.71606707572937,2922.1215176630967,5058.60693359375
410.83406496047974,2922.065199449469,5058.60693359375
410.95406579971313,2922.00861022029,5058.60693359375
411.0690665245056,2921.9517545772615,5058.60693359375
411.18506813049316,2921.894614774547,5058.60693359375
411.29406666755676,2921.8467642478886,5058.60693359375
411.4090657234192,2921.7890703687585,5058.60693359375
411.51307487487793,2921.740785923752,5058.60693359375
411.6250879764557,2921.682619361946,5058.60693359375
411.7330856323242,2921.6339649191377,5058.60693359375
411.8476915359497,2921.5753646406692,5058.60693359375
411.9506947994232,2921.5263547820227,5058.60693359375
412.0746831893921,2921.467334754537,5058.60693359375
412.1966869831085,2921.408090839973,5058.60693359375
412.31068420410156,2921.348625860497,5058.60693359375
412.43251276016235,2921.288941999714,5058.60693359375
412.5485110282898,2921.2290406310144,5058.60693359375
412.65551352500916,2921.1789571482577,5058.60693359375
412.77351331710815,2921.1186579970718,5058.60693359375
412.87680220603943,2921.0682422838545,5058.60693359375
412.99880027770996,2921.0075423221856,5058.60693359375
413.11380195617676,2920.9466207718815,5058.60693359375
413.23181104660034,2920.885474689491,5058.60693359375
413.34890508651733,2920.824100566121,5058.60693359375
413.46690487861633,2920.762494503467,5058.60693359375
413.5969047546387,2920.700652289733,5058.60693359375
413.71290826797485,2920.6385695883014,5058.60693359375
413.8319056034088,2920.5762420687383,5058.60693359375
414.0051357746124,2920.513665556099,5058.60693359375
414.1241343021393,2920.440373267499,5058.60693359375
414.24513506889343,2920.377261419657,5058.60693359375
414.3481352329254,2920.3244561776423,5058.60693359375
414.46513533592224,2920.2608503335377,5058.60693359375
414.57813334465027,2920.1969818470943,5058.60693359375
414.69013690948486,2920.1435570117005,5058.60693359375
414.80613446235657,2920.0792060100557,5058.60693359375
414.9231345653534,2920.014592742138,5058.60693359375
415.0371334552765,2919.949718886407,5058.60693359375
415.14613342285156,2919.8954600100683,5058.60693359375
415.2621350288391,2919.830115167061,5058.60693359375
415.37656354904175,2919.764518217371,5058.60693359375
415.48756432533264,2919.7096643690033,5058.60693359375
415.60308718681335,2919.6436157905655,5058.60693359375
415.70709323883057,2919.5883917027268,5058.60693359375
415.8101806640625,2919.5330312244773,5058.60693359375
415.92628026008606,2919.466357898141,5058.60693359375
416.04428005218506,2919.399450589522,5058.60693359375
416.17428040504456,2919.33231874377,5058.60693359375
416.2905662059784,2919.2649657706274,5058.60693359375
416.40758538246155,2919.1973944420824,5058.60693359375
416.5153172016144,2919.140919770002,5058.60693359375
416.63231778144836,2919.0729530538706,5058.60693359375
416.7467133998871,2919.0047719424706,5058.60693359375
416.87471413612366,2918.9363762667044,5058.60693359375
416.9947154521942,2918.8677650785344,5058.60693359375
